Occupation,Detailed Work Activity,Code,Group
Chiropractors,Examine patients to assess general physical condition.,29-1011.00,Allied Health Professionals
Chiropractors,Record patient medical histories.,29-1011.00,Allied Health Professionals
Chiropractors,"Collect medical information from patients, family members, or other medical professionals.",29-1011.00,Allied Health Professionals
Chiropractors,Diagnose medical conditions.,29-1011.00,Allied Health Professionals
Chiropractors,Gather medical information from patient histories.,29-1011.00,Allied Health Professionals
Chiropractors,Treat patients using physical therapy techniques.,29-1011.00,Allied Health Professionals
Chiropractors,Advise patients on effects of health conditions or treatments.,29-1011.00,Allied Health Professionals
Chiropractors,Analyze test data or images to inform diagnosis or treatment.,29-1011.00,Allied Health Professionals
Chiropractors,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1011.00,Allied Health Professionals
Chiropractors,Collaborate with healthcare professionals to plan or provide treatment.,29-1011.00,Allied Health Professionals
Chiropractors,Refer patients to other healthcare practitioners or health resources.,29-1011.00,Allied Health Professionals
Chiropractors,Schedule patient procedures or appointments.,29-1011.00,Allied Health Professionals
Chiropractors,"Apply bandages, dressings, or splints.",29-1011.00,Allied Health Professionals
Chiropractors,Recommend types of assistive devices.,29-1011.00,Allied Health Professionals
"Dentists, General",Protect patients or staff members using safety equipment.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Operate diagnostic or therapeutic medical instruments or equipment.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General","Examine mouth, teeth, gums, or related facial structures.",29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Operate diagnostic imaging equipment.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Administer anesthetics or sedatives to control pain.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Develop medical treatment plans.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Treat dental problems or diseases.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Diagnose dental conditions.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Adjust prostheses or other assistive devices.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Advise patients on preventive care techniques.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Design medical devices or appliances.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Fabricate medical devices.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Prescribe medications.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Operate on patients to treat conditions.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Analyze patient data to determine patient needs or treatment goals.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Supervise patient care personnel.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Design public or employee health programs.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Direct healthcare delivery programs.,29-1021.00,Dental and Oral Health Professionals
"Dentists, General",Prepare healthcare training materials.,29-1021.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Administer anesthetics or sedatives to control pain.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Collaborate with healthcare professionals to plan or provide treatment.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Analyze patient data to determine patient needs or treatment goals.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Operate on patients to treat conditions.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,"Treat acute illnesses, infections, or injuries.",29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Treat dental problems or diseases.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Treat medical emergencies.,29-1022.00,Dental and Oral Health Professionals
Oral and Maxillofacial Surgeons,Treat chronic diseases or disorders.,29-1022.00,Dental and Oral Health Professionals
Orthodontists,Adjust dental devices or appliances to ensure fit.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Analyze patient data to determine patient needs or treatment goals.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Diagnose dental conditions.,29-1023.00,Dental and Oral Health Professionals
